recommendation_code,section,category,WHO_domain,trigger_summary,recommendation,service_provider,source,apa_reference,source_type,source_link,requires_human_validation,key_program_tag,implementation_note,trigger_tags,priority_weight
OSCA_001,OSCA / Benefit Navigation,benefits,Environment,"No senior citizen ID, incomplete OSCA record, or unverified senior status","Verify or update senior citizen registration and OSCA record for ID, benefits, and local service coordination.","OSCA, Office of the Mayor, LGU",Senior Citizens Act / OSCA,Republic Act No. 7432. (1992). Senior Citizens Act.,Philippine law,https://www.dilg.gov.ph/PDF_File/issuances/republic_acts/RA_7432.PDF,TRUE,OSCA,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,osca_navigation,2
OSCA_002,OSCA / Benefit Navigation,benefits,Environment,Senior is unaware of benefits or privileges,"Refer the senior to OSCA for orientation on senior citizen rights, privileges, and local benefit pathways.","OSCA, LGU",NCSC senior citizen rights and privileges,National Commission of Senior Citizens. (2023). What are the rights and privileges of senior citizens?,Philippine government information source,https://www.ncsc.gov.ph/post/what-are-the-rights-and-privileges-of-senior-citizens,TRUE,OSCA,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,benefits_unaware,1
OSCA_003,OSCA / Benefit Navigation,benefits,Environment,No NCSC registration or incomplete national registry details,Assist the senior with NCSC registration or local support for national senior citizen database inclusion.,"NCSC, OSCA, LGU",NCSC senior citizen rights and privileges,National Commission of Senior Citizens. (2023). What are the rights and privileges of senior citizens?,Philippine government information source,https://www.ncsc.gov.ph/post/what-are-the-rights-and-privileges-of-senior-citizens,TRUE,OSCA,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,,1
OSCA_004,OSCA / Benefit Navigation,benefits,Environment,Senior reports difficulty claiming discounts or services,"Refer to OSCA for assistance in resolving senior citizen discount, service denial, or privilege concerns.","OSCA, LGU, concerned agency",NCSC senior citizen rights and privileges,National Commission of Senior Citizens. (2023). What are the rights and privileges of senior citizens?,Philippine government information source,https://www.ncsc.gov.ph/post/what-are-the-rights-and-privileges-of-senior-citizens,TRUE,OSCA,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,,1
OSCA_005,OSCA / Benefit Navigation,benefits,Environment,Senior needs help preparing benefit documents,"Assist the senior in preparing documents for PhilHealth, Social Pension, AICS, PCSO, Malasakit, or local assistance referrals.","OSCA, MSWDO/CSWDO, family representative",Senior Citizens Act / OSCA,Republic Act No. 7432. (1992). Senior Citizens Act.,Philippine law,https://www.dilg.gov.ph/PDF_File/issuances/republic_acts/RA_7432.PDF,TRUE,OSCA,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,,1
OSCA_006,OSCA / Benefit Navigation,benefits,Environment,Senior has multiple unmet needs and unclear service pathway,Create an OSCA referral summary indicating the senior's priority concerns and offices to coordinate with.,"OSCA, MSWDO/CSWDO, RHU/BHC",Senior Citizens Act / OSCA,Republic Act No. 7432. (1992). Senior Citizens Act.,Philippine law,https://www.dilg.gov.ph/PDF_File/issuances/republic_acts/RA_7432.PDF,TRUE,OSCA,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,multiple_unmet_needs,2
OSCA_007,OSCA / Benefit Navigation,benefits,Environment,Senior has low awareness of local activities,"Inform the senior about OSCA announcements, senior citizen association activities, and local health or social programs.","OSCA, Senior Citizen Association, Barangay",Senior Citizens Act / OSCA,Republic Act No. 7432. (1992). Senior Citizens Act.,Philippine law,https://www.dilg.gov.ph/PDF_File/issuances/republic_acts/RA_7432.PDF,TRUE,OSCA,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,low_participation,1
OSCA_008,OSCA / Benefit Navigation,benefits,Environment,Senior has difficulty navigating online or paper-based services,"Assign assisted service navigation through OSCA staff, barangay worker, or authorized family representative.","OSCA, Barangay, Family representative",NCSC senior citizen rights and privileges,National Commission of Senior Citizens. (2023). What are the rights and privileges of senior citizens?,Philippine government information source,https://www.ncsc.gov.ph/post/what-are-the-rights-and-privileges-of-senior-citizens,TRUE,OSCA,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,,1
OSCA_009,OSCA / Benefit Navigation,benefits,Environment,Senior with urgent/high risk needs multiple agency referrals,"Prepare a consolidated referral checklist for OSCA, MSWDO, RHU, PhilHealth, and barangay follow-up.","OSCA, MSWDO/CSWDO, RHU/BHC, Barangay",Senior Citizens Act / OSCA,Republic Act No. 7432. (1992). Senior Citizens Act.,Philippine law,https://www.dilg.gov.ph/PDF_File/issuances/republic_acts/RA_7432.PDF,TRUE,OSCA,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,high_risk,2
OSCA_010,OSCA / Benefit Navigation,benefits,Environment,Senior has no record of senior association membership,Verify if the senior is connected to a local senior citizen organization and offer assistance if interested.,"OSCA, Senior Citizen Association",Senior Citizens Act / OSCA,Republic Act No. 7432. (1992). Senior Citizens Act.,Philippine law,https://www.dilg.gov.ph/PDF_File/issuances/republic_acts/RA_7432.PDF,TRUE,OSCA,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,not_association_member,1
